signer0_sample1,41
signer0_sample4,26
signer0_sample10,19
signer0_sample16,5
signer0_sample17,28
signer0_sample20,76
signer0_sample21,66
signer0_sample25,1
signer0_sample29,5
signer0_sample30,8
signer0_sample33,53
signer0_sample35,71
signer0_sample38,97
signer0_sample39,63
signer0_sample40,59
signer0_sample41,47
signer0_sample43,89
signer0_sample46,2
signer0_sample47,73
signer0_sample54,85
signer0_sample56,25
signer0_sample58,24
signer0_sample59,16
signer0_sample61,6
signer0_sample62,49
signer0_sample69,33
signer0_sample70,11
signer0_sample71,94
signer0_sample72,19
signer0_sample73,11
signer0_sample76,80
signer0_sample77,56
signer0_sample79,75
signer0_sample83,3
signer0_sample85,23
signer0_sample91,52
signer0_sample93,62
signer0_sample94,13
signer0_sample96,35
signer0_sample98,87
signer0_sample100,8
signer0_sample104,58
signer0_sample107,94
signer0_sample109,1
signer0_sample111,35
signer0_sample113,18
signer0_sample121,97
signer0_sample123,27
signer0_sample128,50
signer0_sample129,71
signer0_sample130,2
signer0_sample135,69
signer0_sample136,19
signer0_sample137,83
signer0_sample141,55
signer0_sample143,79
signer0_sample144,58
signer0_sample145,98
signer0_sample147,57
signer0_sample149,68
signer0_sample150,38
signer0_sample152,61
signer0_sample157,42
signer0_sample162,47
signer0_sample164,46
signer0_sample169,34
signer0_sample171,14
signer0_sample172,23
signer0_sample174,98
signer0_sample177,50
signer0_sample181,62
signer0_sample184,25
signer0_sample185,59
signer0_sample189,37
signer0_sample190,64
signer0_sample192,70
signer0_sample193,9
signer0_sample195,95
signer0_sample197,58
signer0_sample204,2
signer0_sample207,11
signer0_sample209,3
signer0_sample210,84
signer0_sample211,86
signer0_sample212,98
signer0_sample213,72
signer0_sample214,24
signer0_sample215,53
signer0_sample219,42
signer0_sample220,89
signer0_sample226,67
signer0_sample231,3
signer0_sample232,87
signer0_sample235,57
signer0_sample236,5
signer0_sample239,47
signer0_sample240,77
signer0_sample242,78
signer0_sample245,14
signer0_sample246,94
signer0_sample247,3
signer0_sample249,82
signer0_sample250,35
signer0_sample255,65
signer0_sample256,73
signer0_sample257,44
signer0_sample258,15
signer0_sample260,39
signer0_sample261,21
signer0_sample262,73
signer0_sample266,24
signer0_sample267,98
signer0_sample268,70
signer0_sample273,63
signer0_sample274,67
signer0_sample275,50
signer0_sample276,1
signer0_sample279,64
signer0_sample280,68
signer0_sample281,63
signer0_sample284,68
signer0_sample290,26
signer0_sample295,34
signer0_sample296,81
signer0_sample299,63
signer0_sample300,88
signer0_sample301,47
signer0_sample303,78
signer0_sample306,31
signer0_sample307,79
signer0_sample312,38
signer0_sample313,16
signer0_sample316,50
signer0_sample318,62
signer0_sample319,51
signer0_sample321,59
signer0_sample322,56
signer0_sample323,60
signer0_sample326,87
signer0_sample330,35
signer0_sample332,84
signer0_sample335,93
signer0_sample338,63
signer0_sample339,43
signer0_sample340,25
signer0_sample341,7
signer0_sample342,60
signer0_sample343,88
signer0_sample349,49
signer0_sample350,76
signer0_sample351,68
signer0_sample352,37
signer0_sample356,37
signer0_sample357,60
signer0_sample358,56
signer0_sample359,15
signer0_sample361,88
signer0_sample367,66
signer0_sample369,70
signer0_sample370,20
signer0_sample372,18
signer0_sample376,89
signer0_sample380,27
signer0_sample390,15
signer0_sample391,74
signer0_sample392,84
signer0_sample393,76
signer0_sample394,40
signer0_sample401,50
signer0_sample402,25
signer0_sample404,77
signer0_sample405,94
signer0_sample408,54
signer0_sample410,58
signer0_sample412,72
signer0_sample413,23
signer0_sample419,22
signer0_sample421,17
signer0_sample426,40
signer0_sample427,25
signer0_sample430,96
signer0_sample431,0
signer0_sample432,77
signer0_sample433,29
signer0_sample434,6
signer0_sample436,74
signer0_sample439,28
signer0_sample440,93
signer0_sample444,21
signer0_sample445,17
signer0_sample447,56
signer0_sample448,96
signer0_sample450,83
signer0_sample453,1
signer0_sample455,70
signer0_sample456,21
signer0_sample459,29
signer0_sample463,31
signer0_sample464,46
signer0_sample465,4
signer0_sample466,13
signer0_sample468,91
signer0_sample471,71
signer0_sample472,9
signer0_sample473,91
signer0_sample474,9
signer0_sample475,82
signer0_sample477,16
signer0_sample480,84
signer0_sample481,45
